Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",8.000000,-17.000000,0.000000,top
"C2","100nF","C_0805_2012Metric",8.000000,-22.000000,0.000000,top
"D1","LED","PinHeader_1x02_P2.54mm_Vertical",35.000000,-6.000000,0.000000,top
"D2","LED","PinHeader_1x02_P2.54mm_Vertical",35.000000,-11.000000,0.000000,top
"D3","LED","PinHeader_1x02_P2.54mm_Vertical",35.000000,-16.000000,0.000000,top
"D4","LED","PinHeader_1x02_P2.54mm_Vertical",35.000000,-21.000000,0.000000,top
"H","","MountingHole_2.5mm_M3",3.000000,-3.000000,0.000000,top
"H","","MountingHole_2.5mm_M3",37.000000,-3.000000,0.000000,top
"H","","MountingHole_2.5mm_M3",3.000000,-22.000000,0.000000,top
"H","","MountingHole_2.5mm_M3",37.000000,-22.000000,0.000000,top
"J1","VCC/GND","PinHeader_1x02_P2.54mm_Vertical",3.000000,-8.000000,0.000000,top
"R1","10k","R_0805_2012Metric",8.000000,-5.000000,0.000000,top
"R2","47k","R_0805_2012Metric",8.000000,-10.000000,0.000000,top
"R3","330","R_0805_2012Metric",28.000000,-6.000000,0.000000,top
"R4","330","R_0805_2012Metric",28.000000,-11.000000,0.000000,top
"R5","330","R_0805_2012Metric",28.000000,-16.000000,0.000000,top
"R6","330","R_0805_2012Metric",28.000000,-21.000000,0.000000,top
"U1","NE555","DIP-8_W7.62mm",15.000000,-12.000000,0.000000,top
