Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",10.000000,-18.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",20.000000,-18.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",25.000000,-8.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",41.000000,-8.000000,0.000000,top
"D1","LED","PinHeader_1x02_P2.54mm_Vertical",55.500000,-32.000000,0.000000,top
"H","","MountingHole_3.2mm_M3",3.500000,-3.500000,0.000000,top
"H","","MountingHole_3.2mm_M3",56.500000,-3.500000,0.000000,top
"H","","MountingHole_3.2mm_M3",3.500000,-41.500000,0.000000,top
"H","","MountingHole_3.2mm_M3",56.500000,-41.500000,0.000000,top
"J1","5V IN","PinHeader_1x02_P2.54mm_Vertical",5.500000,-12.000000,0.000000,top
"J2","I2C Sensor","PinHeader_1x04_P2.54mm_Vertical",55.000000,-10.000000,0.000000,top
"J3","UART PROG","PinHeader_1x06_P2.54mm_Vertical",33.000000,-40.000000,90.000000,top
"R1","10k","R_0805_2012Metric",25.000000,-30.000000,0.000000,top
"R2","10k","R_0805_2012Metric",33.000000,-30.000000,0.000000,top
"R3","10k","R_0805_2012Metric",41.000000,-30.000000,0.000000,top
"R4","330","R_0805_2012Metric",50.000000,-32.000000,0.000000,top
"U1","AMS1117-3.3","PinHeader_1x03_P2.54mm_Vertical",15.000000,-12.000000,0.000000,top
"U2","ESP-12F","DIP-16_W7.62mm",33.000000,-18.000000,0.000000,top
