Ref,Val,Package,PosX,PosY,Rot,Side
"C_003","6e-07","C_0805_2012Metric",44.000000,-8.000000,0.000000,top
"GND_010","GND","PinHeader_1x02_P2.54mm_Vertical",32.000000,-28.000000,0.000000,top
"GND_011","GND","PinHeader_1x02_P2.54mm_Vertical",44.000000,-28.000000,0.000000,top
"GND_012","GND","PinHeader_1x02_P2.54mm_Vertical",8.000000,-38.000000,0.000000,top
"H","","MountingHole_3.2mm_M3",3.000000,-3.000000,0.000000,top
"H","","MountingHole_3.2mm_M3",57.000000,-3.000000,0.000000,top
"H","","MountingHole_3.2mm_M3",3.000000,-57.000000,0.000000,top
"H","","MountingHole_3.2mm_M3",57.000000,-57.000000,0.000000,top
"L_005","2.5e-07","L_0805_2012Metric",20.000000,-18.000000,0.000000,top
"L_006","2.5e-07","L_0805_2012Metric",32.000000,-18.000000,0.000000,top
"L_007","2.5e-07","L_0805_2012Metric",44.000000,-18.000000,0.000000,top
"L_008","2.5e-07","L_0805_2012Metric",8.000000,-28.000000,0.000000,top
"R_002","10000","R_0805_2012Metric",32.000000,-8.000000,0.000000,top
"R_009","50","R_0805_2012Metric",20.000000,-28.000000,0.000000,top
"S_001","S","PinHeader_1x02_P2.54mm_Vertical",20.000000,-8.000000,0.000000,top
"S_004","S","PinHeader_1x02_P2.54mm_Vertical",8.000000,-18.000000,0.000000,top
"V_000","5000V","PinHeader_1x02_P2.54mm_Vertical",8.000000,-8.000000,0.000000,top
